uniqueid,QN2_E,QN2_F,QN2_G,QN2_H,QN2_I,QN2_J,QN2_K,QN2_L,QN2_M,QN2_N,QN2_O,QN2_P,QN2_Q,QN2_R,QN2_S,Q93_dv,Q94_A_dv,Q94_B_dv,Q95_dv,Q96_A_dv,AQ96_A,Q96_B_dv,Q96_C_dv,Q96_D_dv,Q96_E_dv,Q96_F_dv,Q97_dv,AQ97,Q98_dv,AQ98,QN3_A,QN3_B,QN3_C,QN3_D,QN3_E,QN3_F,QN3_G,QN3_H,QN3_I,Q99,Q100,egg_dv,QN4_A,QN4_B,QN4_C,Q101_dv,Q102_A_dv,Q102_B_dv,AQ102_B,Q102_C_dv,Q102_D_dv,Q102_E_dv,Q102_F_dv,Q102_G_dv,Q103,Q104_dv,Q105_A_dv,Q105_B_dv,Q105_C_dv,Q105_D_dv,AQ105_D,Q105_E_dv,Q105_F_dv,Q105_G_dv,Q105_H_dv,Q105_I_dv,Q105_J_dv,Q105_K_dv,Q105_L_dv,AQ105_L,rawdairy_dv,Q106_A,Q106_B,Q106_C,frozenfruit_dv,Q106_D,Q106_E,Q106_F,Q106_G,Q107_A,Q107_B,Q107_C,Q107_D,Q107_E,Q107_F,Q107_G,Q108,Q109_A,Q109_B,Q109_C,BLOCK2,Q110_dv,AQ110,Q111_dv,AQ111,Q110_Q111_dv,AQ110_Q111_dv,Q112_A,AQ112_A,Q112_B,AQ112_B,Q112_C,AQ112_C,Q112_D,AQ112_D,Q112_E,AQ112_E,Q112_F,AQ112_F,Q112_G,AQ112_G,Q113_dv,AQ113,Q113_A_dv,Q113_B_dv,Q113_C_dv,Q113_D_dv,Q114_dv,AQ114,Q115_dv,Q116_dv,Q116_1_dv,Q116_2_dv,Q116_3_dv,Q116_4_dv,Q116_5_dv,Q116_97_dv,Q116_99_dv,Q117_dv,Q118,Q119_dv,Q120_A_dv,AQ120_A,Q120_B_dv,AQ120_B,Q120_C_dv,AQ120_C,Q120_D_dv,AQ120_D,naturalwater_dv,Q121_dv,Q122_1_dv,Q122_2_dv,Q122_3_dv,Q122_4_dv,Q122_97_dv,Q122_99_dv,Q123_1_dv,Q123_2_dv,Q123_97_dv,Q123_99_dv,Q124_dv,Q125_1_dv,Q125_2_dv,Q125_3_dv,Q125_4_dv,Q125_97_dv,Q125_99_dv,Q126_1_dv,Q126_2_dv,Q126_97_dv,Q126_99_dv,Q127_dv,Q128_1_dv,Q128_2_dv,Q128_97_dv,Q128_99_dv,Q129,AQ129,Q130_dv,Q131_A_dv,AQ131_A,Q131_B_dv,AQ131_B,Q131_C_dv,AQ131_C,Q131_D_dv,AQ131_D,Q131_E_dv,AQ131_E,Q131_F_dv,AQ131_F,Q131_G_dv,AQ131_G,Q132_A_dv,AQ132_A,Q132_B_dv,AQ132_B,Q132_C_dv,AQ132_C,Q132_D_dv,AQ132_D,Q132_E_dv,AQ132_E,Q135_FS_1,Q135_FS_2,Q135_FS_3,Q135_FS_4,Q135_FS_5,Q135_FS_6,Q135_FS_7,Q135_FS_8,Q135_FS_97,Q135_FS_99,Q136_FS,Q137_FS,Q138_FS_1,Q138_FS_2,Q138_FS_3,Q138_FS_4,Q138_FS_5,Q138_FS_97,Q138_FS_99,Q139_FS_1,Q139_FS_2,Q139_FS_3,Q139_FS_4,Q139_FS_5,Q139_FS_6,Q139_FS_7,Q139_FS_8,Q139_FS_97,Q139_FS_99,Q140_FSA,Q140_FSB,Q140_FSC,Q140_FSD,Q140_FSE,Q140_FSF,Q140_FSG,Q140_FSH,Q141_FS,Q142_FS,Q143_FSA,Q143_FSB,Q143_FSC,Q143_FSD,Q143_FSE,Q143_FSF,Q143_FSG,Q143_FSH,Q143_FSI,Q143_FSJ,Q143_FSK,Q143_FSL,Q144_FSA,Q144_FSB,Q144_FSC,Q144_FSD,Q144_FSE,Q144_FSF,Q145FSA,Q145FSB,Q145FSC,AQ139_FS_dv
9728,,,,,,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,,2,,2,2,2,,,2,2,,2,1,2,1,,,,1,1,2,,2,2,2,1,2,1,1,1,2,2,2,,2,2,2,2,2,2,2,,,,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,1,2,2,3,,,,,,,2,,2,,2,,2,,2,,2,,2,,1,,1,2,2,2,,,2,,2,2,2,2,2,,,,2,1,2,,2,,2,,2,,2,1,1,2,2,2,,,1,2,,,1,1,2,2,2,,,1,2,,,2,2,2,,,1,15,1,2,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9729,,,,,,,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,2,2,2,,2,,2,2,1,,,1,2,,2,1,2,1,,,,1,1,2,,2,1,2,1,1,1,1,1,2,2,2,,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,,,2,1,,,,,,,,,,,,,,,2,,2,1,2,2,1,,1,1,2,2,2,2,1,,,3,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,1,6,1,2,,1,7,2,,2,,2,,2,,2,,2,,2,,1,7,2,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9730,,,,,,,2,1,2,2,2,2,2,2,2,1,2,2,2,2,,2,2,2,2,2,2,,2,,2,2,2,,,1,2,,2,1,2,1,,,,1,1,2,,2,2,1,1,1,2,1,1,1,1,2,,2,2,2,2,2,2,2,2,,2,1,1,2,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,3,,,,,,,2,,2,,2,,2,,2,,2,,2,,1,,1,2,2,2,,,2,,2,2,2,2,2,,,,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,1,2,,1,50,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9731,,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,,2,2,2,2,2,2,,2,,2,1,2,,,1,2,,2,1,2,1,,,,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,,,,1,,,,,,,,,,,,,,,,2,,2,1,2,2,,,1,1,2,1,2,2,2,,,5,1,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9732,,,,,,,2,1,2,2,2,2,2,2,2,1,2,1,2,2,,2,2,2,2,2,2,,2,,2,2,2,,,2,1,,2,1,1,1,,,,1,1,2,,2,2,2,1,2,2,1,1,1,1,2,,2,2,2,2,2,2,2,2,,2,1,1,1,1,2,2,2,2,2,1,1,2,1,2,2,1,1,1,2,3,,,,,,,2,,2,,2,,2,,2,,2,,2,,1,,1,2,2,2,,,1,1,2,1,2,2,2,,,6,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,1,2,,1,10,2,,1,10,2,,1,2,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9733,,,,,,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,,2,,2,2,2,,,2,2,,2,1,1,1,,,,1,1,2,,2,2,2,1,1,2,1,1,1,1,2,,2,2,2,2,2,2,1,2,,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,,,2,,1,,,,,,,,,,,,,,,,1,,1,2,2,2,,,2,,2,2,2,2,2,,,,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,1,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9734,,,,,,,1,1,2,2,1,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,,2,,2,2,2,,,2,2,,2,1,2,1,,,,1,1,2,,2,2,2,1,2,2,1,1,2,2,2,,2,1,2,2,2,2,1,2,,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,3,,,,,,,2,,2,,2,,2,,2,,2,,2,,1,,1,2,2,2,,,2,,2,2,2,2,2,,,,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,1,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9735,,,,,,,2,1,2,2,2,2,2,2,2,1,2,2,1,2,,2,2,1,2,2,2,,2,,2,2,2,,,1,2,,2,1,2,1,,,,1,1,2,,,2,1,1,1,2,1,1,2,1,2,,2,1,2,1,2,2,2,2,,2,1,1,2,1,2,2,2,2,1,2,1,1,1,1,2,1,2,2,1,2,,,2,,1,,,,,,,,,,,,,,,,2,,2,1,2,2,2,,2,,2,2,2,2,2,,,,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,1,2,,1,30,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,0,0,1,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,3,1,1,3,1,3,3,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,
9736,,,,,,,2,1,1,2,1,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,,2,,2,2,2,,,2,2,,2,1,1,1,,,,1,1,2,,2,2,2,1,1,2,1,1,1,2,2,,2,1,2,2,2,2,2,2,,2,2,2,,,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,1,2,,,,1,,,,,,,,,,,,,,,,4,river,2,2,2,1,,,1,,,,,,,1,,6,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9737,,,,,,,2,1,2,2,1,2,2,2,2,1,2,2,2,2,,2,2,2,2,2,2,,2,,1,2,2,,,2,2,,2,2,2,2,,,,1,1,2,,2,1,2,1,1,2,1,1,1,1,2,,1,2,1,2,2,1,2,2,,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,2,2,3,,,,,,,2,,1,1,2,,2,,2,,2,,2,,2,,2,1,2,2,2,,1,1,1,2,2,2,2,,,6,1,1,2,,1,1,2,,2,,1,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,1,1,1,1,20,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9738,,,,,,,2,1,2,2,2,2,2,2,2,1,2,2,2,2,,2,2,2,2,2,2,,2,,2,2,1,,,2,2,,2,1,2,1,,,,1,1,2,,2,2,2,2,1,2,1,1,1,1,2,,2,2,2,2,2,2,1,2,,2,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,1,2,2,1,1,1,1,,,2,1,,,,,,,,,,,,,,,2,,2,1,2,2,1,,1,1,1,2,2,2,2,,,5,2,1,2,,2,,2,,2,,2,1,1,2,2,2,,,1,2,,,1,1,2,2,2,,,1,2,,,2,2,2,,,1,4,1,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9739,,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,,2,2,2,2,2,2,,2,,2,2,2,,,1,2,,2,1,2,1,,,,1,1,2,,2,2,1,2,1,2,1,1,1,1,2,,2,2,2,2,2,2,2,2,,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,1,2,2,3,,,,,,,2,,2,,2,,2,,2,,2,,2,,1,,1,2,2,2,,,2,,2,2,2,2,2,,,,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,1,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9740,,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,1,2,,2,2,1,2,2,2,,2,,1,2,2,,,2,2,,2,2,1,1,,,,1,1,2,,2,1,1,1,1,2,1,1,1,1,2,,1,1,1,1,1,1,2,2,,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,3,,,,,,,,,,,,,,,,,,,,,1,,1,2,2,2,,,1,1,2,1,2,2,2,,,6,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,1,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3,1,1,3,1,3,3,3,3,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,3,1,3,1,2,1,2,
9741,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,,2,,2,2,2,,,2,2,,2,1,2,1,,,,1,1,2,,2,2,1,1,1,2,1,1,1,2,2,,2,2,2,2,2,2,2,2,,2,2,1,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,1,1,2,,,,1,,,,,,,,,,,,,,,,1,,1,2,2,2,,,2,,2,2,2,2,2,,,,2,1,2,,2,,2,,2,,2,1,1,2,2,2,,,1,2,,,1,1,2,2,2,,,1,2,,,2,2,2,,,1,9,1,2,,1,15,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9742,,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,,2,2,2,2,2,2,,2,,2,2,1,,,2,1,,2,2,2,2,,,,1,1,2,,2,2,1,1,1,1,1,1,1,2,2,,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,3,,,,,,,2,,2,,2,,2,,2,,2,,2,,1,,1,2,2,2,,,2,,2,2,2,2,2,,,,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,0,0,0,1,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,4,1,1,1,3,
9743,,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,,2,2,2,2,2,2,,2,,2,2,2,,,2,2,,2,2,2,2,,,,1,2,2,,2,1,2,1,1,1,2,2,2,2,2,,2,2,2,2,2,2,2,2,,,1,1,2,1,2,2,1,2,1,2,2,2,1,1,2,1,2,2,2,3,,,,,,,2,,2,,2,,2,,2,,2,,1,2,2,,2,1,2,2,1,,1,1,2,2,2,2,1,,,3,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,1,1,5,1,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9744,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,,2,,2,2,2,,,2,2,,2,1,2,1,,,,1,1,2,,2,2,2,2,1,2,1,1,1,2,2,,2,2,2,2,2,2,2,2,,2,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,,,2,1,,,,,,,,,,,,,,,2,,2,1,2,2,1,,1,1,1,2,2,2,2,,,3,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,1,1,21,1,47,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9745,,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,,2,2,2,2,2,2,,2,,2,2,2,,,1,2,,2,1,2,1,,,,1,1,2,,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,,2,1,1,2,1,2,2,2,2,1,2,1,1,2,1,2,2,2,2,2,3,,,,,,,2,,2,,2,,2,,2,,2,,2,,1,,1,2,2,2,,,1,1,2,1,2,2,2,,,5,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,1,1,7,1,1,1,1,2,,2,,1,1,1,1,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9746,,,,,,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,,2,,2,2,2,,,2,2,,2,2,2,2,,,,1,1,2,,2,2,2,2,1,1,1,1,1,2,2,,2,1,1,1,2,2,2,2,,2,2,1,2,1,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,1,1,1,,,2,1,,,,,,,,,,,,,,,1,,1,2,2,2,,,2,,2,2,2,2,2,,,,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,1,2,,1,100,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9747,,,,,,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,,2,,2,2,2,,,2,2,,2,1,2,1,,,,1,2,2,,1,1,1,1,2,2,1,1,1,1,2,,2,2,2,2,2,2,2,2,,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,3,,,2,3,,,,,,,,,,,,,,,1,,1,2,2,2,,,2,,2,2,2,2,2,,,,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,2,2,,,2,,2,2,2,2,2,,,,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9749,,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,,2,2,2,2,2,2,,2,,2,2,2,,,2,1,,2,1,2,1,,,,1,1,2,,2,2,2,1,2,2,1,1,1,1,2,,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,,,,1,,,,,,,,,,,,,,,,3,,2,2,1,2,,,1,1,1,2,2,2,2,,,1,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,1,20,1,2,,1,,1,,2,,2,,2,,2,,2,,2,,2,,2,,2,,0,1,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,1,3,3,3,3,3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,3,1,1,1,1,2,2,
9750,,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,1,2,,2,2,1,2,1,2,,2,,2,1,2,,,2,2,,2,1,2,1,,,,1,1,2,,2,2,2,1,1,2,1,1,2,1,2,,2,2,1,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,,,2,,1,,,,,,,,,,,,,,,,1,,1,2,2,2,,,1,1,2,1,2,2,2,,,,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9751,,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,,2,2,2,2,2,2,,2,,2,2,2,,,2,2,,2,2,1,1,,,,1,1,2,,2,2,2,1,1,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,,1,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,2,2,2,,,2,,1,,,,,,,,,,,,,,,,1,,1,2,2,2,,,1,1,2,1,2,2,2,,,1,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,1,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,0,0,0,0,0,1,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,1,1,1,1,1,3,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,
9752,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,,2,,2,2,2,,,2,2,,2,1,2,1,,,,1,2,2,,2,2,2,2,1,2,1,2,1,2,2,,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,,,2,,1,,,,,,,,,,,,,,,,3,,2,2,1,2,,,2,,2,2,2,2,2,,,,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,1,1,25,1,25,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9753,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,,2,,2,2,2,,,2,2,,2,2,2,2,,,,1,1,2,,2,2,1,1,1,2,1,1,2,2,2,,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,,,,1,,,,,,,,,,,,,,,,1,,1,2,2,2,,,2,,2,2,2,2,2,,,,2,1,2,,1,1,2,,2,,1,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,1,2,,1,25,2,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9754,,,,,,,2,1,2,2,1,2,2,2,2,1,2,2,2,2,,2,2,2,2,2,2,,2,,2,2,2,,,1,2,,2,1,2,1,,,,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,,1,2,2,2,2,2,2,2,,1,1,1,1,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,,,2,,1,,,,,,,,,,,,,,,,1,,1,2,2,2,,,2,,2,2,2,2,2,,,,2,1,1,1,1,5,1,1,2,,1,1,1,2,2,2,,,1,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,1,20,1,2,,1,2,2,,2,,1,1,2,,2,,2,,2,,2,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9755,,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,,2,2,2,2,2,2,,2,,2,2,2,,,2,2,,2,1,2,1,,,,1,1,2,,2,1,1,2,1,2,1,1,1,1,2,,2,1,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,,2,,1,,,,,,,,,,,,,,,,1,,1,2,2,2,,,1,1,2,2,2,2,1,,,,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9756,,,,,,,2,2,2,2,2,2,2,2,2,1,1,1,1,2,,1,2,1,2,2,2,,2,,2,2,2,,,2,2,,2,1,2,1,,,,1,1,2,,2,2,1,1,1,2,1,1,1,1,2,,1,2,2,2,2,2,1,2,,2,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,2,1,2,1,1,2,,,,1,,,,,,,,,,,,,,,,1,,1,2,2,2,,,2,,2,2,2,2,2,,,,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,1,1,4,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9757,,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,,2,2,2,2,2,2,,2,,2,2,2,,,1,2,,2,1,1,1,,,,1,1,2,,2,2,1,2,1,2,1,1,2,1,2,,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,2,2,2,,,1,1,2,1,,,,,,,,,,,,,,,1,,1,2,2,2,,,2,,2,2,2,2,2,,,,2,2,2,,2,,2,,2,,2,2,2,2,2,2,,,2,2,,,2,2,2,2,2,,,2,2,,,2,2,2,,,2,,1,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,0,0,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,2,1,1,1,1,2,2,2,2,2,1,1,1,2,1,1,3,3,3,1,1,1,2,
