uniqueid,Q1,Q2,babyformula_dv,Q3,Q4,Q5,Q6_dv,Q7_dv,Q8_A_dv,Q8_B_dv,Q8_C_dv,Q8_D_dv,Q9_dv,AQ9,Q10_dv,AQ10,Q11_A_dv,AQ11_A,Q11_B_dv,AQ11_B,Q11_C_dv,AQ11_C,Q11_D_dv,AQ11_D,Q12_dv,AQ12,Q13,AQ13,Q14_dv,AQ14,Q15_A_dv,AQ15_A,Q15_B_dv,AQ15_B,Q16,Q17,Q18,Q19,Q20,Q21,carrot_dv,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30_dv,Q31_A_dv,Q31_B_dv,Q31_C_dv,AQ31_C,Q32,AQ32,Q33_A,AQ33_A,Q33_B,AQ33_B,Q33_C,AQ33_C,Q33_D,AQ33_D,Q33_E,AQ33_E,Q33_F,freshherb_dv,Q34_A,AQ34_A,Q34_B,AQ34_B,Q34_C,Q34_D,Q34_E,spice_dv,Q35_dv,AQ35,Q36_A_dv,AQ36_A,Q36_B_dv,AQ36_B,Q36_C_dv,AQ36_C,Q36_D_dv,AQ36_D,Q36_E_dv,AQ36_E,Q37A,AQ37A,Q37B,AQ37B,Q_38,Q_39,Q_40,Q_41,Q_42,Q_43,Q_44,Q_45,Q_46,Q_47,Q_48,Q_49,Q_50,Q_51,Q_52,Q_53,Q_54,Q_55,AQ_55,Q_56,AQ_56,Q_57,AQ_57,melon_dv,Q_58,AQ_58,Q_59,AQ_59,Q_60,AQ_60,Q_61,AQ_61,berries_dv,Q62,Q63_dv,QN1_A,QN1_B,Q64,Q65,Q66_dv,Q67_A_dv,AQ67_A,Q67_B_dv,AQ67_B,Q67_C_dv,AQ67_C,Q67_D_dv,AQ67_D,Q67_E_dv,AQ67_E,Q67_F_dv,AQ67_F,Q68_A,Q68_B,Q68_C,AQ68_C,Q107_GG_dv,Q107_H_dv,Q107_I_dv,Q69_dv,AQ69,Q70_dv,AQ70,Q71_dv,AQ71,Q72_dv,AQ72,Q73_dv,AQ73,Q74_dv,AQ74,groundbeef_dv,Q75_dv,AQ75,Q76_dv,AQ76,Q77_dv,AQ77,Q78_dv,AQ78,Q79_dv,AQ79,Q80_dv,AQ80,Q81_A_dv,AQ81_A,Q81_B_dv,Q81_C_dv,AQ81_C,Q81_D_dv,AQ81_D,Q82_dv,AQ82,Q83_A_dv,Q83_B_dv,AQ83_B,Q83_C_dv,AQ83_C,Q83_D_dv,AQ83_D,Q84_dv,Q85_A_dv,AQ85_A,Q85_B_dv,AQ85_B,Q85_C_dv,AQ85_C,Q86,poultry_dv,Q87_dv,AQ87,Q88_A_dv,AQ88_A,Q88_B_dv,AQ88_B,Q88_C_dv,AQ88_C,Q88_D_dv,AQ88_D,Q88_E_dv,AQ88_E,Q88_F_dv,AQ88_F,Q88_G_dv,AQ88_G,Q88_H_dv,AQ88_H,Q89_A,Q89_B,Q89_C,AQ89_C,Q89_D,Q89_E,Q89_F,Q89_G,Q89_H,AQ89_H,AQ89_I,Q90_dv,Q91_1_dv,Q91_2_dv,Q91_3_dv,Q91_4_dv,Q91_5_dv,Q91_6_dv,Q91_7_dv,Q91_8_dv,AQ91,Q91_97_dv,Q91_99_dv,Q91_other_dv,Q92_1_dv,Q92_2_dv,Q92_3_dv,Q92_4_dv,AQ92,Q92_97_dv,Q92_99_dv,QN2_A,QN2_B,QN2_C,QN2_D
3861,,,,,,,2,2,2,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,2,1,1,1,1,2,1,1,,1,2,2,1,1,1,2,,2,,,,,,2,,2,,2,,2,,1,2,2,,2,2,2,1,2,,2,,2,,2,,2,,2,,1,1,2,,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,1,,1,,1,,1,1,,1,,1,,1,,1,2,2,,,2,2,1,2,,2,,2,,2,,2,,2,,2,2,2,,,,,2,,2,,2,,2,,2,,2,,2,2,,2,,2,,2,,2,,2,,2,,2,2,,2,,2,,2,2,,2,,2,,2,2,,2,,2,,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,1,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3862,,,,,,,1,1,,,,,1,2,1,2,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,2,1,2,2,,2,2,2,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,,1,3,2,,1,1,2,2,,2,,2,,1,2,2,,,1,2,2,2,,2,,2,,2,,2,,2,,2,2,2,,,,,1,3,1,2,1,2,2,,2,,1,1,1,2,,2,,2,,2,,1,1,1,1,2,,2,2,,1,1,1,1,2,2,,1,1,2,,2,2,,2,,2,,2,1,1,2,2,,2,,2,,2,,1,2,2,,2,,2,,1,2,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3863,1,1,1,1,2,1,1,1,1,1,2,1,1,4,2,,1,2,1,3,2,,2,,1,1,2,,2,,2,,2,,1,1,2,2,1,2,1,1,1,1,1,2,2,2,2,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,2,1,5,2,,2,2,2,1,1,1,1,1,2,,2,,2,,1,6,2,,2,,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,1,1,2,,2,,2,,2,2,,1,1,2,,2,,1,2,2,,,2,2,2,2,,2,,2,,2,,2,,2,,2,1,2,,,,,1,2,1,2,1,1,2,,1,1,1,1,1,2,,2,,1,10,2,,1,20,1,2,1,10,1,2,,2,,1,2,1,2,,1,30,1,20,1,2,,2,,1,2,2,1,1,3,2,,2,,1,2,1,2,2,,2,,2,,2,,2,1,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3864,,,,,,,1,2,1,2,2,2,1,1,2,,1,1,2,,2,,2,,1,1,2,,2,,2,,2,,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,1,1,2,2,,1,2,2,,2,,2,,2,,2,,2,2,2,,2,,2,2,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,1,2,2,,2,,2,,2,1,,2,,2,,2,,1,2,2,,,2,2,1,2,,2,,2,,2,,2,,2,,2,2,2,,,,,1,2,1,1,1,1,2,,2,,2,,1,2,,2,,2,,2,,1,,1,1,2,,2,1,1,2,,1,1,2,2,,1,1,1,1,2,2,,2,,2,,2,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,2,2,,2,2,2,2,1,1,foie de vache,2,,,,,,,,,,,,2,,,,,,,,,,,
3865,,,,,,,1,2,2,1,2,2,1,,2,,2,,2,,2,,2,,2,,1,2,2,,2,,2,,2,1,2,2,1,2,1,1,2,2,2,2,1,2,2,1,1,2,2,,2,,2,,1,2,2,,2,,2,,2,1,1,7,2,,2,2,2,1,1,1,1,2,2,,2,,2,,2,,2,,2,,1,1,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,,2,,2,,2,2,,2,,2,,2,,2,2,2,,,2,2,1,2,,1,1,2,,2,,2,,1,2,2,2,2,,,,,1,2,1,1,2,,1,1,1,1,2,,1,2,,2,,1,1,2,,2,,1,1,1,1,1,1,1,2,,1,1,2,2,,1,2,1,1,2,2,,2,,2,,2,1,1,1,2,,2,,1,1,2,,2,,2,,2,,2,,2,1,1,1,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3866,,,,,,,2,2,2,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,2,1,3,2,,2,2,2,1,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,,2,,2,,2,2,,1,2,2,,2,,1,2,2,,,1,2,1,1,1,2,,2,,2,,2,,2,,1,1,2,,,,,2,,2,,2,,2,,2,,2,,2,2,,2,,2,,2,,2,,1,2,1,1,1,2,,2,,1,3,1,2,,1,2,2,,2,2,,2,,2,,2,1,1,2,2,,2,,1,2,2,,2,,2,,2,,2,,1,1,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3867,,,,,,,1,1,,1,2,2,1,7,1,1,1,1,1,6,2,,2,,1,7,2,,2,,2,,2,,1,2,2,1,1,2,1,1,2,2,2,2,2,1,2,1,2,1,2,,2,,2,,2,,2,,2,,2,,2,2,1,1,2,,2,2,2,1,1,2,1,7,2,,2,,2,,2,,2,,2,,2,2,2,2,2,2,1,2,1,1,2,2,2,1,2,2,2,1,2,2,,2,,1,1,2,1,2,2,,2,,1,2,2,,,1,2,1,1,2,1,2,2,,2,,1,2,2,,2,2,2,,,,,2,,2,,2,,2,,2,,2,,2,2,,2,,2,,2,,2,,2,,2,,2,2,,2,,1,4,1,2,,1,3,1,1,1,2,,2,,1,1,1,1,1,7,2,,1,4,2,,2,,2,,1,1,1,1,2,,2,2,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3868,,,,,,,1,2,1,2,2,2,1,3,1,1,1,2,1,1,2,,2,,1,3,2,,2,,2,,2,,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,,2,,2,,2,,2,,2,,2,,2,2,1,,2,,2,2,1,1,1,2,2,,2,,2,,2,,1,1,2,,2,,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,2,,1,2,,2,,2,,2,,2,2,2,,,2,2,2,2,,2,,2,,2,,2,,2,,2,2,2,,,,,1,4,1,1,2,,2,,1,1,1,4,1,2,,2,,2,,1,1,2,,1,2,2,,2,1,1,1,1,2,,2,2,,2,,2,,1,2,,2,,1,3,2,1,1,1,2,,2,,1,1,2,,2,,1,1,2,,1,2,2,2,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3869,1,1,1,1,2,1,2,2,2,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,2,2,,2,,2,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,,2,,1,2,1,2,,2,,2,,2,,2,2,2,,,2,2,2,2,,2,,2,,2,,2,,2,,2,2,2,,,,,2,,2,,2,,2,,2,,2,,2,2,,2,,2,,2,,2,,2,,2,,2,2,,2,,2,,2,2,,2,,2,,2,2,,2,,2,,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,2,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3870,,,,,,,1,1,2,,,2,1,3,2,,2,,2,,2,,2,,2,,1,3,2,,2,,2,,2,1,2,1,1,2,1,2,2,2,2,2,1,2,2,1,1,2,2,,2,,2,,2,,2,,2,,2,,2,2,1,2,2,,2,2,1,1,2,,2,,2,,2,,2,,2,,1,1,2,,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,4,2,,2,,1,1,1,1,1,1,1,1,1,1,2,2,,,1,2,1,2,,1,3,1,4,2,,2,,2,,2,2,2,,,,,1,2,1,1,2,,2,,1,1,2,,1,2,,2,,2,,2,,2,,2,,2,,2,2,,2,,1,2,2,2,,,,2,,2,2,,2,,2,,1,1,1,1,2,,2,,1,1,2,,2,,2,,2,,2,,2,2,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3871,,,,,,,1,2,2,2,1,1,2,,2,,2,,2,,2,,2,,2,,1,2,2,,2,,2,,1,2,2,1,1,2,1,2,2,1,1,2,2,2,1,1,1,2,1,2,2,,2,,2,,2,,2,,2,,2,2,1,7,2,,2,2,1,1,1,2,2,,2,,2,,2,,2,,1,1,2,,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,,2,,2,,2,2,,2,,2,,2,,2,2,2,,,1,2,2,2,,2,,2,,2,,2,,2,,2,2,2,,,,,1,2,1,1,1,1,2,,2,,2,,1,2,,2,,2,,2,,1,1,1,1,2,,2,2,,1,1,1,2,2,1,1,1,1,2,,2,2,,2,,2,,2,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,1,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3872,,,,,,,1,2,2,2,1,1,1,4,2,,1,4,1,2,2,,2,,1,1,2,,2,,2,,2,,1,1,2,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,4,2,,2,,2,,2,,2,,2,,2,2,1,7,2,,2,2,2,1,1,3,1,3,2,,2,,2,,1,7,2,,2,,1,2,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,,2,,2,,2,1,4,2,,1,3,2,,1,2,2,,,2,2,1,2,,1,1,2,,2,,2,,2,,2,2,2,,,,,1,1,2,,2,,2,,2,,2,,2,2,,2,,2,,2,,1,1,1,4,2,,1,2,,1,,2,,2,2,,2,,2,,2,2,,2,,2,,2,2,1,2,2,,1,,1,3,2,,2,,2,,2,,2,,2,2,2,,2,1,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3873,,,,,,,2,2,2,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,2,,2,,2,,2,,2,,2,,2,,2,2,1,7,2,,2,2,2,1,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,,2,,2,2,,2,,2,,2,,2,2,2,,,1,1,1,2,,1,2,2,,2,,1,2,2,,2,2,2,,,,,2,,2,,2,,2,,2,,2,,2,2,,2,,2,,2,,2,,1,1,2,,1,2,,1,1,2,,2,2,,2,,2,,1,2,,2,,1,3,2,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,2,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3874,,,,,,,2,2,2,2,2,2,1,4,1,1,1,3,1,1,2,,2,,2,,1,2,1,1,2,,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,3,2,,2,,2,,2,,2,,2,,2,2,1,21,2,,2,2,2,1,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,,2,,2,,2,2,,2,,2,,2,,2,2,2,,,1,2,1,2,,2,,2,,2,,2,,2,,2,1,2,,,,,1,2,1,1,1,1,2,,2,,1,2,1,2,,2,,2,,2,,2,,1,1,2,,1,2,,2,,2,,2,2,,2,,2,,1,2,,2,,1,3,2,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,2,1,1,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3875,,,,,,,1,2,2,2,1,2,1,2,2,,1,2,2,,2,,2,,1,1,2,,2,,2,,2,,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,,1,1,2,,2,,2,,2,,2,,2,2,1,2,2,,2,2,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,2,,2,,2,2,,2,,1,1,2,,1,,2,,,1,2,1,1,2,2,,2,,2,,2,,2,,1,2,2,,,,,1,1,2,,2,,2,,2,,2,,2,2,,2,,2,,2,,2,,1,2,2,,2,1,2,2,,1,1,2,2,,1,1,2,,2,2,,2,,2,,2,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,1,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3876,,,,,,,1,1,1,2,1,2,1,5,1,1,1,3,1,3,2,,2,,2,,1,1,2,,2,,2,,2,1,2,1,1,2,1,2,2,1,1,2,2,1,2,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,2,1,14,2,,1,2,2,1,2,,2,,2,,2,,2,,2,,1,1,2,,1,2,2,1,2,2,1,2,1,2,2,2,2,2,1,1,2,2,,2,,2,,2,1,1,1,1,2,,2,,1,2,2,,,1,2,1,2,,2,,1,1,2,,2,,2,,2,2,2,,,,,1,5,1,2,1,2,2,,2,,1,1,1,2,,2,,1,1,1,1,1,1,1,2,1,1,1,2,,2,,1,4,2,2,,1,1,2,,1,2,,2,,1,1,2,1,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,2,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3877,,,,,,,1,2,1,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,1,1,1,1,1,2,1,2,2,2,2,1,1,1,2,2,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,1,2,2,1,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,,2,,1,2,,2,,2,,2,,2,2,2,,,1,2,1,2,,2,,2,,2,,1,2,2,,2,2,2,,,,,1,3,2,,2,,2,,2,,1,3,1,2,,2,,2,,2,,2,,1,3,2,,2,2,,1,1,1,1,2,2,,1,1,2,,2,2,,2,,2,,2,1,1,2,2,,2,,1,2,2,,2,,2,,2,,2,,2,2,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3878,,,,,,,1,2,1,2,1,1,1,12,2,,1,3,1,3,2,,1,5,1,,1,4,2,,2,,2,,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,,2,,2,,1,2,2,,1,1,1,3,1,1,1,14,2,,1,1,1,1,1,2,1,2,2,,2,,2,,2,,2,,1,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,,2,,2,,2,2,,1,3,2,,1,3,1,2,1,,,1,2,1,2,,2,,1,7,2,,2,,2,,1,2,2,,,,,1,2,2,,2,,2,,2,,1,1,1,2,,2,,2,,1,1,2,,2,,2,,2,2,,2,,1,5,2,2,,1,5,1,2,1,2,,2,,1,2,2,1,1,2,1,2,2,,2,,2,,2,,2,,2,,2,,2,2,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3879,,,,,,,2,2,2,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,1,,2,,2,,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,2,2,,2,,2,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,,2,,2,,2,1,21,2,,2,,2,,1,2,1,,,1,1,2,2,,2,,2,,2,,2,,2,,2,2,2,,,,,2,,2,,2,,2,,2,,2,,2,2,,2,,2,,2,,2,,1,5,1,4,1,2,,1,2,1,2,1,2,,1,2,1,1,2,2,,2,,2,,2,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3880,,,,,,,1,2,2,1,2,1,1,3,2,,1,2,1,1,2,,2,,1,1,2,,2,,2,,2,,1,2,2,1,1,2,1,1,1,1,2,2,2,1,2,1,1,2,1,2,2,,2,,2,,2,,2,,2,,2,2,1,3,2,,2,2,2,1,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,1,1,2,,2,,1,1,2,1,2,2,,2,,1,2,1,,,1,1,2,2,,2,,2,,2,,2,,2,,2,2,2,,,,,1,2,2,,2,,2,,2,,1,1,1,2,,2,,2,,2,,1,1,2,,2,,2,2,,2,,2,,2,2,,2,,2,,2,2,,2,,2,,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3881,,,,,,,2,2,2,2,2,2,1,3,2,,2,,1,2,2,,1,1,1,2,2,,2,,2,,2,,1,1,2,1,1,2,1,1,1,2,1,2,2,2,1,2,2,2,2,,2,,2,,1,1,1,1,2,,2,,2,1,1,4,2,,2,2,2,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,1,2,2,1,2,1,1,2,2,2,1,2,2,2,2,,2,,1,2,1,1,6,1,4,2,,2,,1,2,1,,,2,1,1,2,,2,,2,,2,,2,,2,,1,2,2,,,,,2,,2,,2,,2,,2,,2,,2,2,,2,,2,,2,,2,,1,2,2,,1,2,,1,1,1,1,1,2,,1,1,2,,1,2,,2,,1,2,2,1,1,5,2,,2,,1,4,2,,2,,1,2,2,,2,,2,2,1,2,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3882,,,,,,,2,2,2,2,2,2,1,6,2,,2,,1,4,2,,2,,1,1,2,,2,,2,,2,,1,2,2,1,1,2,1,2,1,1,1,2,2,2,2,1,1,2,1,5,2,,2,,2,,2,,2,,2,,2,2,1,6,2,,2,2,2,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,2,,2,,2,1,1,2,,2,,2,,1,2,2,,,1,2,1,2,,2,,2,,2,,2,,2,,2,2,2,,,,,2,,2,,2,,2,,2,,2,,2,2,,2,,2,,2,,2,,1,3,1,1,2,2,,2,,1,3,1,2,,1,1,2,,1,2,,2,,2,,2,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,2,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3883,,,,,,,1,2,1,2,2,2,1,5,2,,1,5,2,,2,,2,,2,,1,2,2,,2,,2,,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,5,1,3,2,,2,,2,,1,2,1,7,1,1,1,7,2,,1,2,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,,1,3,1,1,4,2,,2,,2,,1,2,2,,,1,2,1,1,,2,,2,,2,,2,,2,,2,2,2,,,,,1,3,1,3,1,3,2,,2,,1,2,1,2,,2,,1,2,2,,2,,1,1,2,,1,2,,1,1,2,,2,2,,2,,2,,2,2,,2,,2,,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,1,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3884,,,,,,,2,2,2,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,2,1,7,1,1,1,2,1,1,2,,2,,2,,2,,2,,2,,1,1,2,,1,1,2,2,2,2,1,2,2,1,2,2,2,1,1,2,2,1,1,1,1,2,,1,2,,1,1,1,1,2,,1,2,2,,,1,2,1,2,,2,,2,,2,,2,,2,,2,2,2,,,,,1,3,2,,2,,2,,2,,1,1,1,2,,2,,1,2,1,1,1,1,2,,2,,2,2,,2,,2,,2,2,,2,,2,,1,2,,2,,1,4,2,1,1,4,1,1,2,,1,1,2,,1,1,2,,2,,1,1,2,2,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3885,,,,,,,1,1,2,,2,2,1,2,2,,1,2,2,,2,,2,,1,1,2,,2,,2,,2,,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,2,,2,,2,,2,,2,,2,,2,2,1,7,2,,2,2,2,1,2,,2,,2,,2,,2,,2,,2,,2,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,1,1,2,,1,2,,2,,2,,2,,2,2,2,,,1,2,2,2,,2,,2,,2,,2,,2,,2,2,2,,,,,1,2,1,1,2,,2,,1,1,2,,1,2,,2,,2,,2,,1,1,2,,2,,2,2,,2,,1,1,1,2,,2,,2,,2,2,,2,,2,,2,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,2,1,2,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3886,,,,,,,1,2,,1,2,1,1,4,2,,1,3,1,1,2,,2,,2,,1,2,2,,2,,2,,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,2,1,5,2,,2,2,2,1,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,,2,,1,2,,2,,2,,2,,2,2,2,,,2,2,1,1,3,1,3,2,,2,,1,3,1,3,1,2,2,,,,,1,2,2,,2,,2,,2,,1,1,1,2,,2,,2,,2,,1,2,1,1,2,,2,2,,1,1,1,2,2,2,,1,1,2,,1,2,,2,,1,2,2,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,2,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3887,,,,,,,1,2,1,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1,2,,2,,2,,2,,2,,2,,2,,2,2,1,,2,,2,2,2,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,1,2,2,1,2,2,1,1,2,2,1,2,2,2,1,2,,2,,2,,2,2,,2,,2,,2,,2,2,2,,,2,2,2,2,,2,,2,,2,,2,,2,,1,2,2,,,,,2,,2,,2,,2,,2,,2,,2,2,,2,,2,,2,,2,,2,,2,,2,2,,2,,1,,2,2,,2,,2,,2,2,,2,,2,,2,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,2,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3888,,,,,,,1,1,,,,,1,7,2,,2,,2,,1,2,2,,2,,2,,2,,2,,2,,1,1,2,2,1,2,1,2,2,1,1,2,1,2,1,1,1,1,2,,2,,2,,2,,1,2,1,2,2,,1,1,1,3,2,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,2,,2,,2,,2,1,2,2,,2,,2,,1,2,2,,,2,2,2,2,,2,,2,,2,,2,,2,,2,2,2,,,,,2,,2,,2,,2,,2,,2,,2,2,,2,,2,,2,,2,,2,,2,,2,2,,2,,1,4,1,2,,1,3,2,,2,2,,2,,2,,2,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,2,2,,2,2,2,1,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
3889,,,,,,,2,2,2,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,,2,,2,,1,1,2,,2,,2,,2,1,1,2,2,,2,2,2,1,2,,2,,2,,2,,2,,2,,2,,2,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,2,,2,,2,2,,2,,2,,2,,2,1,1,,,1,2,1,2,,1,1,2,,2,,2,,2,,2,2,2,,,,,1,,2,,2,,2,,2,,2,,2,2,,2,,2,,2,,2,,1,4,1,1,1,2,,2,,1,2,2,2,,1,2,2,,1,2,,2,,1,1,1,1,1,4,2,,1,1,1,2,2,,1,2,1,2,1,2,2,,2,2,2,,2,2,2,2,2,,,2,,,,,,,,,,,,2,,,,,,,,,,,
