Variable Name- English,Variable Name- French,Property,ID,Survey Medium,EN Label,FR Label
Q113,Q113,TEXT,,BOTH,Q113. Live on a farm or country property,Q113. Vivre sur une ferme ou une propriété de campagne
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q114,Q114,TEXT,,BOTH,"Q114. Visit or work on farm, petting zoo or fair","Q114. Visite ou travail à la ferme, au zoo pour enfants ou à la foire"
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Ethnicity,Ethnicite,TEXT,,BOTH,Ethnicity of respondent,Groupe racial ou ethnique
,,CHOICE,1,,Black,Noir
,,CHOICE,2,,East/Southeast Asian ,Est-Asiatique/Asiatique du Sud-Est 
,,CHOICE,3,,Indigenous ,Autochtone
,,CHOICE,4,,Latino ,Latino
,,CHOICE,5,,Middle Eastern ,Moyen-Oriental
,,CHOICE,6,,South Asian ,Asiatique du Sud 
,,CHOICE,7,,White ,Blanc
,,CHOICE,8,,Other,Autre groupe
,,CHOICE,9,,More than one ethnicity,Plus d'une groupe racial ou ethnique
Education,Education,TEXT,,BOTH,Q164. Highest level of education,Q164. Niveau de scolarité
,,CHOICE,1,,Less than high school diploma or its equivalent,Niveau inférieur à un diplôme d’études secondaires ou à son équivalent
,,CHOICE,2,,High school diploma or a high school equivalency,Diplôme d’études secondaires ou une attestation d’équivalence
,,CHOICE,3,,Registered apprenticeship or other Trade Certificate or Diploma,Apprentissage inscrit ou diplôme ou certificat d’une école de métiers
,,CHOICE,4,,"College, CEGEP or other non-university certificate or diploma","Certificat ou diplôme d’un collège, d’un cégep ou d’un autre établissement non universitaire (autre qu’un certificat ou un diplôme d’une école de métiers)"
,,CHOICE,5,,"University certificate, diploma or degree","Certificat, diplôme ou grade universitaire"
Income,Revenu,TEXT,,BOTH,Q165. Household income,Q165. Revenu du ménage
,,CHOICE,1,,"Less than $40,000",Moins de 40?000 $
,,CHOICE,2,,"$40,000 or more, but under $80,000","40?000 $ ou plus, mais moins de 80?000 $"
,,CHOICE,3,,"$80,000 or more, but under $120,000","80?000 $ ou plus, mais moins de 120?000 $"
,,CHOICE,4,,"$120,000 or more",120?000 $ et plus
PROXY,Procuration,,,BOTH,Proxy ,Procuration
,,,1,,Proxy ,
Rural_dv,Rural_dv,,,BOTH,Rural ,Rural
,,,1,,Rural,Résident d’une zone rurale
,,,2,,Non-rural,Résident d’une zone non rurale
proj_weight_non_traveller_dv,Proj_weight_non_traveller_dv,NUMERIC,proj_weight,BOTH,Calculated Weight for the Records that did not travel outside of the province in the past 7 days (and therefore got to the Food section) Projected up to the Canadian Population,
Language,Langue,,,BOTH,Language,Langue
,,,1,,English,anglais
,,,2,,French,français
,,,3,,Inuktitut,Inuktitut
DEMO6B_dv,DEMO6B_dv,NUMERIC: Integer,,BOTH,Number of people in the household,Nombre de personnes dans le ménage
,,,1,,1,1
,,,2,,2,2
,,,3,,3,3
,,,4,,4,4
,,,5,,5,5
,,,6,,6 or more,6 ou plus
Gender_dv,Genre_dv,TEXT,,BOTH,Gender of respondent,Genre du répondant
,,CHOICE,1,,Male,Homme
,,CHOICE,2,,Female,Femme
,,CHOICE,3,,Transgender/another gender/prefer not to answer,Autre genre ou préfère ne pas répondre
Age_grp_dv,group_age_dv,,,BOTH,Age category of respondent,Catégorie d'âge du répondant
,,,1,,0-4,0-4
,,,2,,09-May,09-May
,,,3,,14-Oct,14-Oct
,,,4,,15-24 ,15-24
,,,5,,25-34 ,25-34
,,,6,,35-44 ,35-44
,,,7,,45-54,45-54
,,,8,,55-64 ,55-64
,,,9,,65-74,65-74
,,,10,,75+,75+
TYPE_dv,TYPE_dv,,,BOTH,Completion Method,Méthode d'achèvement
,,,1,,Online,En ligne
,,,2,,Telephone,Téléphone
METHOD_dv,Methode_dv,,,BOTH,Mode of Contact,Mode de Contact
,,,1,,Mail,Courriel
,,,2,,Telephone,Téléphone
