"Exposure","Province.Territory","Proportion"
"Store-bought breaded chicken","NT",30.6731061303345
"Store-bought breaded chicken","NU",22.2473366337795
"Store-bought breaded chicken","Canada",33.1223805206589
"Store-bought breaded chicken purchased frozen","BC",19.5718547421459
"Store-bought breaded chicken purchased frozen","AB",22.6645856136135
"Store-bought breaded chicken purchased frozen","SK",28.1718837919286
"Store-bought breaded chicken purchased frozen","MB",34.2552516663378
"Store-bought breaded chicken purchased frozen","ON",23.1994645292566
"Store-bought breaded chicken purchased frozen","QC",21.6513206031236
"Store-bought breaded chicken purchased frozen","NB",31.9827161488909
"Store-bought breaded chicken purchased frozen","NS",24.6516108326999
"Store-bought breaded chicken purchased frozen","PE",23.8758845300196
"Store-bought breaded chicken purchased frozen","NL",37.0519045722114
"Store-bought breaded chicken purchased frozen","YT",10.1428214243632
"Store-bought breaded chicken purchased frozen","NT",21.4416946422324
"Store-bought breaded chicken purchased frozen","NU",19.6930110600771
"Store-bought breaded chicken purchased frozen","Canada",23.2227021615854
"Store-bought stuffed chicken products","BC",8.07891191709437
"Store-bought stuffed chicken products","AB",7.45416171166591
"Store-bought stuffed chicken products","SK",7.60494970574259
"Store-bought stuffed chicken products","MB",8.45097439889185
"Store-bought stuffed chicken products","ON",7.40027308927883
"Store-bought stuffed chicken products","QC",5.78798024941476
"Store-bought stuffed chicken products","NB",8.62717575545913
"Store-bought stuffed chicken products","NS",7.35313749887047
"Store-bought stuffed chicken products","PE",4.23911123337408
"Store-bought stuffed chicken products","NL",5.42327955204914
"Store-bought stuffed chicken products","YT",6.7341289807911
"Store-bought stuffed chicken products","NT",5.62870240234469
"Store-bought stuffed chicken products","NU",2.10597927885979
"Store-bought stuffed chicken products","Canada",7.14252535314093
"Store-bought stuffed chicken products purchased frozen","BC",6.36649923024408
"Store-bought stuffed chicken products purchased frozen","AB",6.14163196139496
"Store-bought stuffed chicken products purchased frozen","SK",4.52177434477486
"Store-bought stuffed chicken products purchased frozen","MB",8.63157032506955
"Store-bought stuffed chicken products purchased frozen","ON",5.42894761107366
"Store-bought stuffed chicken products purchased frozen","QC",3.83096437266242
"Store-bought stuffed chicken products purchased frozen","NB",8.11631308894587
"Store-bought stuffed chicken products purchased frozen","NS",2.84304429752678
"Store-bought stuffed chicken products purchased frozen","PE",2.43397257359533
"Store-bought stuffed chicken products purchased frozen","NL",3.72001925490339
"Store-bought stuffed chicken products purchased frozen","YT",4.35958031386864
"Store-bought stuffed chicken products purchased frozen","NT",7.40839705231336
"Store-bought stuffed chicken products purchased frozen","NU",0
"Store-bought stuffed chicken products purchased frozen","Canada",5.31497945214475
"Ground chicken","BC",7.09110707028342
"Ground chicken","AB",6.37789281136691
"Ground chicken","SK",5.49795299666817
"Ground chicken","MB",4.77848798537117
"Ground chicken","ON",9.26317667677823
"Ground chicken","QC",6.56749491356199
"Ground chicken","NB",9.52754403125526
"Ground chicken","NS",6.89892011030257
"Ground chicken","PE",7.78989065112306
"Ground chicken","NL",4.90283031785219
"Ground chicken","YT",6.1986666639753
"Ground chicken","NT",8.41878989495451
"Ground chicken","NU",12.2311165351041
"Ground chicken","Canada",7.60952143672671
"Roasted whole chicken purchased from a store","BC",21.0520538015548
"Roasted whole chicken purchased from a store","AB",22.6457937292715
"Roasted whole chicken purchased from a store","SK",20.1711577457246
"Roasted whole chicken purchased from a store","MB",19.2805826763718
"Roasted whole chicken purchased from a store","ON",26.9916174575958
"Roasted whole chicken purchased from a store","QC",25.9932609433213
"Roasted whole chicken purchased from a store","NB",24.7071806136774
"Roasted whole chicken purchased from a store","NS",24.9490548280896
"Roasted whole chicken purchased from a store","PE",24.128959838719
"Roasted whole chicken purchased from a store","NL",26.9569780415802
"Roasted whole chicken purchased from a store","YT",11.8153507793925
"Roasted whole chicken purchased from a store","NT",20.3253058251478
"Roasted whole chicken purchased from a store","NU",3.36744175410302
"Roasted whole chicken purchased from a store","Canada",24.8078887728055
"Whole chicken purchased raw and cooked at home","BC",24.5032442366219
"Whole chicken purchased raw and cooked at home","AB",26.3645782053861
"Whole chicken purchased raw and cooked at home","SK",26.5224645766907
"Whole chicken purchased raw and cooked at home","MB",27.694211985821
"Whole chicken purchased raw and cooked at home","ON",28.9734095226469
"Whole chicken purchased raw and cooked at home","QC",35.1035082620359
"Whole chicken purchased raw and cooked at home","NB",36.7125447995149
"Whole chicken purchased raw and cooked at home","NS",34.0012497920338
"Whole chicken purchased raw and cooked at home","PE",39.4720953130335
"Whole chicken purchased raw and cooked at home","NL",46.182611795156
"Whole chicken purchased raw and cooked at home","YT",16.7107458870179
"Whole chicken purchased raw and cooked at home","NT",25.7393098688816
"Whole chicken purchased raw and cooked at home","NU",16.3201115487785
"Whole chicken purchased raw and cooked at home","Canada",29.9353627857185
"Chicken pieces or parts","BC",72.5686178059234
"Chicken pieces or parts","AB",70.7081571774905
"Chicken pieces or parts","SK",70.2139528035977
"Chicken pieces or parts","MB",68.3649841020326
"Chicken pieces or parts","ON",72.902029008288
"Chicken pieces or parts","QC",67.8509359574998
"Chicken pieces or parts","NB",67.3220107330784
"Chicken pieces or parts","NS",63.3274850042726
"Chicken pieces or parts","PE",68.0282235671523
"Chicken pieces or parts","NL",74.4966864623875
"Chicken pieces or parts","YT",65.2674753083232
"Chicken pieces or parts","NT",64.887674823466
"Chicken pieces or parts","NU",59.5776201779124
"Chicken pieces or parts","Canada",70.7841462588475
"Chicken sausage (excluding dried sauage)","BC",2.23024044786445
"Chicken sausage (excluding dried sauage)","AB",5.3373514300771
"Chicken sausage (excluding dried sauage)","SK",2.96763963731598
"Chicken sausage (excluding dried sauage)","MB",4.62295252205576
"Chicken sausage (excluding dried sauage)","ON",3.4587385100258
"Chicken sausage (excluding dried sauage)","QC",3.8512903560753
"Chicken sausage (excluding dried sauage)","NB",1.66570093897915
"Chicken sausage (excluding dried sauage)","NS",1.17330518932421
"Chicken sausage (excluding dried sauage)","PE",3.61342724933748
"Chicken sausage (excluding dried sauage)","NL",1.88228051445655
"Chicken sausage (excluding dried sauage)","YT",1.77412187405199
"Chicken sausage (excluding dried sauage)","NT",0.199925566741687
"Chicken sausage (excluding dried sauage)","NU",6.91504640588577
"Chicken sausage (excluding dried sauage)","Canada",3.50432426294124
"Chicken from a restaurant or fast food establishment*","BC",18.8
"Chicken from a restaurant or fast food establishment*","AB",20.1
"Chicken from a restaurant or fast food establishment*","SK",19.8
"Chicken from a restaurant or fast food establishment*","MB",22.8
"Chicken from a restaurant or fast food establishment*","ON",23.8
"Chicken from a restaurant or fast food establishment*","QC",18.9
"Chicken from a restaurant or fast food establishment*","NB",21.4
"Chicken from a restaurant or fast food establishment*","NS",11.9
"Chicken from a restaurant or fast food establishment*","PE",17.6
"Chicken from a restaurant or fast food establishment*","NL",26
"Chicken from a restaurant or fast food establishment*","YT",20.4
"Chicken from a restaurant or fast food establishment*","NT",12.9
"Chicken from a restaurant or fast food establishment*","NU",7
"Chicken from a restaurant or fast food establishment*","Canada",21
"Any turkey (not including deli-meat)","BC",13.9890562502735
"Any turkey (not including deli-meat)","AB",15.0134571013161
"Any turkey (not including deli-meat)","SK",14.3712894597844
"Any turkey (not including deli-meat)","MB",14.4665356762779
"Any turkey (not including deli-meat)","ON",14.3794551445423
"Any turkey (not including deli-meat)","QC",8.74393002828838
"Any turkey (not including deli-meat)","NB",11.1276558396247
"Any turkey (not including deli-meat)","NS",13.2346510335003
"Any turkey (not including deli-meat)","PE",10.0262031446394
"Any turkey (not including deli-meat)","NL",19.1884779078344
"Any turkey (not including deli-meat)","YT",17.7182339366455
"Any turkey (not including deli-meat)","NT",16.386232119174
"Any turkey (not including deli-meat)","NU",6.90621496094302
"Any turkey (not including deli-meat)","Canada",13.0495726031605
"Ground turkey","BC",4.73406036549713
"Ground turkey","AB",5.88282679904358
"Ground turkey","SK",2.68095002843054
"Ground turkey","MB",4.72215427118666
"Ground turkey","ON",4.84051857846106
"Ground turkey","QC",2.55546506184303
"Ground turkey","NB",3.7787746272733
"Ground turkey","NS",1.85105938857445
"Ground turkey","PE",1.49128369521707
"Ground turkey","NL",4.80535904046505
"Ground turkey","YT",6.82710872906127
"Ground turkey","NT",2.30600845639785
"Ground turkey","NU",0
"Ground turkey","Canada",4.22202602415573
"Turkey sausage","BC",2.07108307270488
"Turkey sausage","AB",1.63599787807759
"Turkey sausage","SK",2.07723609046673
"Turkey sausage","MB",1.40921917716247
"Turkey sausage","ON",1.65836790254097
"Turkey sausage","QC",0.481800615530859
"Turkey sausage","NB",0.615788307973118
"Turkey sausage","NS",0.405582462471473
"Turkey sausage","PE",0.352757034925359
"Turkey sausage","NL",1.86305175159192
"Turkey sausage","YT",0.792333354505322
"Turkey sausage","NT",0.392449419754088
"Turkey sausage","NU",0
"Turkey sausage","Canada",1.38078631459243
"Whole turkey","BC",5.21121670426966
"Whole turkey","AB",5.06078291594971
"Whole turkey","SK",8.19504373323576
"Whole turkey","MB",6.64212566413878
"Whole turkey","ON",5.66703860717091
"Whole turkey","QC",3.22687615907609
"Whole turkey","NB",5.54246242295486
"Whole turkey","NS",7.470273514066
"Whole turkey","PE",6.71526651734754
"Whole turkey","NL",11.1471513467361
"Whole turkey","YT",7.27558962202294
"Whole turkey","NT",9.38606793481599
"Whole turkey","NU",5.52108442145639
"Whole turkey","Canada",5.21842799980402
"Turkey pieces and parts","BC",6.69277726719302
"Turkey pieces and parts","AB",6.81953364549188
"Turkey pieces and parts","SK",8.75393559720503
"Turkey pieces and parts","MB",5.52067381710931
"Turkey pieces and parts","ON",6.79310366801823
"Turkey pieces and parts","QC",4.30497144342784
"Turkey pieces and parts","NB",5.1154454902785
"Turkey pieces and parts","NS",8.52447505992435
"Turkey pieces and parts","PE",3.21709874776106
"Turkey pieces and parts","NL",10.3282592839512
"Turkey pieces and parts","YT",7.23529114349429
"Turkey pieces and parts","NT",10.4093431069539
"Turkey pieces and parts","NU",2.09410467570314
"Turkey pieces and parts","Canada",6.26838398697154
"Turkey bacon*","BC",0.4
"Turkey bacon*","AB",1
"Turkey bacon*","SK",0.7
"Turkey bacon*","MB",1
"Turkey bacon*","ON",0.4
"Turkey bacon*","QC",0.2
"Turkey bacon*","NB",0.9
"Turkey bacon*","NS",0.5
"Turkey bacon*","PE",0.6
"Turkey bacon*","NL",5.1
"Turkey bacon*","YT",0.4
"Turkey bacon*","NT",0.4
"Turkey bacon*","NU",0.9
"Turkey bacon*","Canada",0.5
"Other poultry (not including deli-meat)","BC",4.36930206151698
"Other poultry (not including deli-meat)","AB",2.96823434851709
"Other poultry (not including deli-meat)","SK",3.76830514472998
"Other poultry (not including deli-meat)","MB",3.01380369080199
"Other poultry (not including deli-meat)","ON",3.58438638959597
"Other poultry (not including deli-meat)","QC",5.17952456786195
"Other poultry (not including deli-meat)","NB",1.4468041628817
"Other poultry (not including deli-meat)","NS",2.130525728328
"Other poultry (not including deli-meat)","PE",1.86737445226724
"Other poultry (not including deli-meat)","NL",5.72388795573055
"Other poultry (not including deli-meat)","YT",0.540101504741314
"Other poultry (not including deli-meat)","NT",2.16488851171273
"Other poultry (not including deli-meat)","NU",2.32014297792068
"Other poultry (not including deli-meat)","Canada",3.90809357812201
"Any deli-meat/cold cuts","BC",47.0586046982828
"Any deli-meat/cold cuts","AB",48.3002356527153
"Any deli-meat/cold cuts","SK",48.492638703406
"Any deli-meat/cold cuts","MB",46.956240882768
"Any deli-meat/cold cuts","ON",47.5917855868799
"Any deli-meat/cold cuts","QC",57.6240189664374
"Any deli-meat/cold cuts","NB",47.0351048782068
"Any deli-meat/cold cuts","NS",48.2754394209203
"Any deli-meat/cold cuts","PE",40.9979004169037
"Any deli-meat/cold cuts","NL",54.5554694974721
"Any deli-meat/cold cuts","YT",48.9403247387549
"Any deli-meat/cold cuts","NT",58.6507852158663
"Any deli-meat/cold cuts","NU",39.4829904227427
"Any deli-meat/cold cuts","Canada",50.0166265103994
"Chicken deli-meat","BC",8.34360911532257
"Chicken deli-meat","AB",7.12297725962072
"Chicken deli-meat","SK",8.72570729452134
"Chicken deli-meat","MB",8.31001536439089
"Chicken deli-meat","ON",11.3554337128713
"Chicken deli-meat","QC",7.19776407511676
"Chicken deli-meat","NB",11.986774556878
"Chicken deli-meat","NS",7.53400756328372
"Chicken deli-meat","PE",11.2172229084218
"Chicken deli-meat","NL",12.16131746908
"Chicken deli-meat","YT",5.2209588105572
"Chicken deli-meat","NT",8.28461515362653
"Chicken deli-meat","NU",8.23958910273061
"Chicken deli-meat","Canada",9.21890942890859
"Turkey deli-meat","BC",14.2463481435595
"Turkey deli-meat","AB",16.5500736072274
"Turkey deli-meat","SK",18.0529341776015
"Turkey deli-meat","MB",12.4227883635582
"Turkey deli-meat","ON",19.2810872976043
"Turkey deli-meat","QC",12.7310695421041
"Turkey deli-meat","NB",15.5472026094687
"Turkey deli-meat","NS",15.0401924289243
"Turkey deli-meat","PE",9.58601740064449
"Turkey deli-meat","NL",20.1428469578004
"Turkey deli-meat","YT",18.0959781269812
"Turkey deli-meat","NT",24.3738704332192
"Turkey deli-meat","NU",12.1732418709125
"Turkey deli-meat","Canada",16.2706424208666
"Ham deli-meat","BC",33.8522133373124
"Ham deli-meat","AB",35.3225651282888
"Ham deli-meat","SK",37.5310374287223
"Ham deli-meat","MB",29.9624718461318
"Ham deli-meat","ON",31.8118953134216
"Ham deli-meat","QC",46.5259090318366
"Ham deli-meat","NB",33.8941569324992
"Ham deli-meat","NS",32.9714145497809
"Ham deli-meat","PE",29.930427995487
"Ham deli-meat","NL",39.2999955853589
"Ham deli-meat","YT",33.2111925179857
"Ham deli-meat","NT",37.1098991118818
"Ham deli-meat","NU",27.5203346894197
"Ham deli-meat","Canada",36.2000489376372
"Beef deli-meat","BC",9.89451131085725
"Beef deli-meat","AB",10.3494577042444
"Beef deli-meat","SK",10.4917656054071
"Beef deli-meat","MB",12.429172029859
"Beef deli-meat","ON",11.189593362847
"Beef deli-meat","QC",10.1707441015749
"Beef deli-meat","NB",13.3992969922167
"Beef deli-meat","NS",12.3054917168
"Beef deli-meat","PE",9.79180244751611
"Beef deli-meat","NL",14.1346716144613
"Beef deli-meat","YT",7.00170838977821
"Beef deli-meat","NT",18.6581263043591
"Beef deli-meat","NU",4.58380206121716
"Beef deli-meat","Canada",10.8153618739138
"Other deli-meat","BC",10.6636052800653
"Other deli-meat","AB",9.97255440260685
"Other deli-meat","SK",13.60456147257
"Other deli-meat","MB",10.0288347781511
"Other deli-meat","ON",12.7515929621611
"Other deli-meat","QC",12.9587545250055
"Other deli-meat","NB",9.76173707731615
"Other deli-meat","NS",12.900151483682
"Other deli-meat","PE",5.9754715303316
"Other deli-meat","NL",12.0247113327275
"Other deli-meat","YT",13.1267124321385
"Other deli-meat","NT",8.7177018126957
"Other deli-meat","NU",9.96421733173161
"Other deli-meat","Canada",12.0198794755791
"Hot dogs","BC",25.2416716640239
"Hot dogs","AB",30.3004445442458
"Hot dogs","SK",38.5291157750319
"Hot dogs","MB",37.3407350920018
"Hot dogs","ON",26.8007639186016
"Hot dogs","QC",31.0123020762135
"Hot dogs","NB",32.104273475481
"Hot dogs","NS",25.962117895443
"Hot dogs","PE",28.4822069244412
"Hot dogs","NL",35.7170494496808
"Hot dogs","YT",25.9126422053904
"Hot dogs","NT",33.5589865168886
"Hot dogs","NU",27.6990452299279
"Hot dogs","Canada",28.935306328975
"Pâté/meat spread","BC",4.65999832372208
"Pâté/meat spread","AB",2.45736353211374
"Pâté/meat spread","SK",2.57248699282939
"Pâté/meat spread","MB",3.43770212991964
"Pâté/meat spread","ON",3.7797252533174
"Pâté/meat spread","QC",22.6655032600043
"Pâté/meat spread","NB",3.85557784108446
"Pâté/meat spread","NS",2.29409145324955
"Pâté/meat spread","PE",1.26294788832402
"Pâté/meat spread","NL",1.73182401214778
"Pâté/meat spread","YT",4.28725381444191
"Pâté/meat spread","NT",5.18556568876779
"Pâté/meat spread","NU",9.29667460388348
"Pâté/meat spread","Canada",8.02275577829456
"Any organ meats","BC",4.66466129047621
"Any organ meats","AB",4.07416821194944
"Any organ meats","SK",4.54837794617562
"Any organ meats","MB",4.33772060579521
"Any organ meats","ON",4.21342128548542
"Any organ meats","QC",3.70198601157871
"Any organ meats","NB",5.36672202911925
"Any organ meats","NS",3.86993343525056
"Any organ meats","PE",3.37641962542561
"Any organ meats","NL",7.41683780894692
"Any organ meats","YT",2.47819945791001
"Any organ meats","NT",3.14762477348172
"Any organ meats","NU",7.9336954469997
"Any organ meats","Canada",4.21285681046544
"Veal or calf liver","BC",0.69957241885014
"Veal or calf liver","AB",1.25916941472246
"Veal or calf liver","SK",1.60053187115319
"Veal or calf liver","MB",1.1402824605566
"Veal or calf liver","ON",1.6171414450733
"Veal or calf liver","QC",1.74753067111631
"Veal or calf liver","NB",2.03321307677601
"Veal or calf liver","NS",1.06868527230126
"Veal or calf liver","PE",0.686790502180446
"Veal or calf liver","NL",0.588928137525353
"Veal or calf liver","YT",0.882351379528245
"Veal or calf liver","NT",0.90910503490042
"Veal or calf liver","NU",5.03650273780629
"Veal or calf liver","Canada",1.44240227006578
"Veal or calf liver consumed raw or undercooked","BC",0.0136179650388002
"Veal or calf liver consumed raw or undercooked","AB",0.28868573834979
"Veal or calf liver consumed raw or undercooked","SK",0.0175384300744897
"Veal or calf liver consumed raw or undercooked","MB",0
"Veal or calf liver consumed raw or undercooked","ON",0.0441064770737176
"Veal or calf liver consumed raw or undercooked","QC",0.192580970763972
"Veal or calf liver consumed raw or undercooked","NB",0
"Veal or calf liver consumed raw or undercooked","NS",0.16955532726179
"Veal or calf liver consumed raw or undercooked","PE",0
"Veal or calf liver consumed raw or undercooked","NL",0
"Veal or calf liver consumed raw or undercooked","YT",0.179027004187268
"Veal or calf liver consumed raw or undercooked","NT",0.333309194850953
"Veal or calf liver consumed raw or undercooked","NU",0
"Veal or calf liver consumed raw or undercooked","Canada",0.102466806969612
"Other organ meat","BC",2.04376828443242
"Other organ meat","AB",1.12517157864393
"Other organ meat","SK",1.75395412319455
"Other organ meat","MB",1.04199647929907
"Other organ meat","ON",1.67952701660088
"Other organ meat","QC",1.11687427507029
"Other organ meat","NB",1.356196377715
"Other organ meat","NS",2.67798762147611
"Other organ meat","PE",1.15538045514668
"Other organ meat","NL",3.04052527910362
"Other organ meat","YT",0.704637627656935
"Other organ meat","NT",1.28904217688903
"Other organ meat","NU",0.488228030558169
"Other organ meat","Canada",1.5486656487813
"Goat","BC",1.16382533610769
"Goat","AB",3.1250933420997
"Goat","SK",1.58392592812215
"Goat","MB",1.83424042541556
"Goat","ON",2.93566364286604
"Goat","QC",0.879651967788665
"Goat","NB",0.216760501193707
"Goat","NS",0.626128626227502
"Goat","PE",1.15947926841015
"Goat","NL",1.81510962238585
"Goat","YT",0.351699262493537
"Goat","NT",0.389698877004532
"Goat","NU",0
"Goat","Canada",2.00789886886545
"Lamb","BC",9.37865854514797
"Lamb","AB",6.31849814562069
"Lamb","SK",2.50673999835149
"Lamb","MB",3.5363142932799
"Lamb","ON",9.89649849055532
"Lamb","QC",5.98158863120649
"Lamb","NB",3.33504116710844
"Lamb","NS",4.90030146927477
"Lamb","PE",3.88379646086741
"Lamb","NL",4.93648229111044
"Lamb","YT",3.75854978468842
"Lamb","NT",2.69446414174354
"Lamb","NU",1.87336881684698
"Lamb","Canada",7.65971610539361
"Horse","BC",0.246985695765088
"Horse","AB",0.249381829258525
"Horse","SK",0.337386980135296
"Horse","MB",0.0911811545345352
"Horse","ON",0.258406195700543
"Horse","QC",0.888055145550432
"Horse","NB",0.125505538459431
"Horse","NS",0.290547261956232
"Horse","PE",0
"Horse","NL",0.109431490248976
"Horse","YT",0.177095317095036
"Horse","NT",0
"Horse","NU",0
"Horse","Canada",0.392500282042523
"Any dried/cured meat products","BC",20.6723957202026
"Any dried/cured meat products","AB",24.7083623674077
"Any dried/cured meat products","SK",28.9762296168817
"Any dried/cured meat products","MB",20.9624591319969
"Any dried/cured meat products","ON",20.8535076328172
"Any dried/cured meat products","QC",13.5543660718578
"Any dried/cured meat products","NB",16.56343784388
"Any dried/cured meat products","NS",10.9668106653877
"Any dried/cured meat products","PE",13.4696716862617
"Any dried/cured meat products","NL",16.4383126804085
"Any dried/cured meat products","YT",24.517398090825
"Any dried/cured meat products","NT",24.5230042781316
"Any dried/cured meat products","NU",18.3319639735385
"Any dried/cured meat products","Canada",19.3924516562225
"Hunted or farmed deer1","BC",3.2
"Hunted or farmed deer1","AB",3.4
"Hunted or farmed deer1","SK",5.6
"Hunted or farmed deer1","MB",5.2
"Hunted or farmed deer1","ON",2.3
"Hunted or farmed deer1","QC",3.9
"Hunted or farmed deer1","NB",4.2
"Hunted or farmed deer1","NS",3.9
"Hunted or farmed deer1","PE",0.1
"Hunted or farmed deer1","NL",1.3
"Hunted or farmed deer1","Canada",3.2
"Other hunted meats1","BC",3.1
"Other hunted meats1","AB",4.8
"Other hunted meats1","SK",6.6
"Other hunted meats1","MB",2.3
"Other hunted meats1","ON",2.2
"Other hunted meats1","QC",4.1
"Other hunted meats1","NB",4.5
"Other hunted meats1","NS",3.3
"Other hunted meats1","PE",2.4
"Other hunted meats1","NL",14.5
"Other hunted meats1","Canada",3.4
"Bologna*","BC",2.4
"Bologna*","AB",5.9
"Bologna*","SK",10.2
"Bologna*","MB",12
"Bologna*","ON",9.7
"Bologna*","QC",9.5
"Bologna*","NB",12
"Bologna*","NS",11.1
"Bologna*","PE",7.8
"Bologna*","NL",18.9
"Bologna*","YT",2.3
"Bologna*","NT",5.7
"Bologna*","NU",9.4
"Bologna*","Canada",8.5
"Salami*","BC",9.4
"Salami*","AB",8.4
"Salami*","SK",8.3
"Salami*","MB",15
"Salami*","ON",12.2
"Salami*","QC",11.5
"Salami*","NB",14.5
"Salami*","NS",10.6
"Salami*","PE",11.4
"Salami*","NL",13.7
"Salami*","YT",16.3
"Salami*","NT",9.3
"Salami*","NU",6.6
"Salami*","Canada",11.3
"Pepperoni*","BC",7.2
"Pepperoni*","AB",7.5
"Pepperoni*","SK",6.8
"Pepperoni*","MB",13.9
"Pepperoni*","ON",8.9
"Pepperoni*","QC",12.4
"Pepperoni*","NB",10.1
"Pepperoni*","NS",13.8
"Pepperoni*","PE",16.8
"Pepperoni*","NL",13.4
"Pepperoni*","YT",12.9
"Pepperoni*","NT",13.8
"Pepperoni*","NU",11.8
"Pepperoni*","Canada",9.7
"Kielbasa*","BC",2.2
"Kielbasa*","AB",2.4
"Kielbasa*","SK",3
"Kielbasa*","MB",5.8
"Kielbasa*","ON",3.8
"Kielbasa*","QC",2
"Kielbasa*","NB",0.3
"Kielbasa*","NS",2.5
"Kielbasa*","PE",0.3
"Kielbasa*","NL",0.8
"Kielbasa*","YT",2.5
"Kielbasa*","NT",0.6
"Kielbasa*","NU",1.1
"Kielbasa*","Canada",2.9
"Sausage*","BC",32.6
"Sausage*","AB",28.6
"Sausage*","SK",33.9
"Sausage*","MB",31.1
"Sausage*","ON",27.6
"Sausage*","QC",38.4
"Sausage*","NB",26.8
"Sausage*","NS",20.7
"Sausage*","PE",20.3
"Sausage*","NL",19.2
"Sausage*","YT",28.7
"Sausage*","NT",25.8
"Sausage*","NU",22.4
"Sausage*","Canada",30.8
"Shawarma or donair","BC",1.1
"Shawarma or donair","AB",6.1
"Shawarma or donair","SK",0.5
"Shawarma or donair","MB",1.2
"Shawarma or donair","ON",4.1
"Shawarma or donair","QC",2.6
"Shawarma or donair","NB",5
"Shawarma or donair","NS",4.9
"Shawarma or donair","PE",4.9
"Shawarma or donair","NL",1.8
"Shawarma or donair","YT",0.1
"Shawarma or donair","NT",4.9
"Shawarma or donair","NU",4.5
"Shawarma or donair","Canada",3.4
"Any seafood","BC",63.5138195009392
"Any seafood","AB",51.787360654171
"Any seafood","SK",48.1256764175056
"Any seafood","MB",45.8186471167739
"Any seafood","ON",58.3011473179456
"Any seafood","QC",66.7862387594233
"Any seafood","NB",58.4196491362854
"Any seafood","NS",57.1614425431676
"Any seafood","PE",53.8658593706999
"Any seafood","NL",56.9041553329726
"Any seafood","YT",56.6150219842412
"Any seafood","NT",57.3845636700625
"Any seafood","NU",68.5537822989639
"Any seafood","Canada",59.4052999898842
"Any fish","BC",54.274851480082
"Any fish","AB",41.0342079510231
"Any fish","SK",31.1124836867165
"Any fish","MB",33.9712576427068
"Any fish","ON",48.9567460328898
"Any fish","QC",56.1657137360392
"Any fish","NB",44.9751625166703
"Any fish","NS",45.0291290412536
"Any fish","PE",41.790261543729
"Any fish","NL",41.4986406646699
"Any fish","YT",44.1511101829833
"Any fish","NT",39.0103222308566
"Any fish","NU",58.203194295582
"Any fish","Canada",49.0073997767787
"Smoked fish","BC",12.9294562039205
"Smoked fish","AB",9.02115204930074
"Smoked fish","SK",4.50052696056768
"Smoked fish","MB",6.55349986459114
"Smoked fish","ON",10.8346928575537
"Smoked fish","QC",18.2582561951362
"Smoked fish","NB",6.7299435781341
"Smoked fish","NS",10.7436961278257
"Smoked fish","PE",5.09625728956311
"Smoked fish","NL",6.52863283769913
"Smoked fish","YT",9.32219362041961
"Smoked fish","NT",3.4982713841602
"Smoked fish","NU",17.0154622399848
"Smoked fish","Canada",12.1036014928115
"Raw fish","BC",16.8162038864845
"Raw fish","AB",9.68293835683655
"Raw fish","SK",4.86902685298377
"Raw fish","MB",7.41651975472063
"Raw fish","ON",11.7896345975612
"Raw fish","QC",16.3452139220231
"Raw fish","NB",3.9133680319558
"Raw fish","NS",6.52838554550303
"Raw fish","PE",3.84762194550488
"Raw fish","NL",6.39680464009887
"Raw fish","YT",9.42746312652378
"Raw fish","NT",10.8787724094869
"Raw fish","NU",14.4010605993101
"Raw fish","Canada",12.4813388675929
"Any shellfish","BC",27.4669910867493
"Any shellfish","AB",24.4229897253779
"Any shellfish","SK",21.0410557246771
"Any shellfish","MB",18.2281790236393
"Any shellfish","ON",26.0750370545587
"Any shellfish","QC",40.2679337172297
"Any shellfish","NB",25.3932772028926
"Any shellfish","NS",22.8699158387371
"Any shellfish","PE",24.323221306796
"Any shellfish","NL",21.8415507293398
"Any shellfish","YT",27.6922368164982
"Any shellfish","NT",31.0701643822017
"Any shellfish","NU",30.7457461556204
"Any shellfish","Canada",28.7581691296296
"Mussels","BC",6.05169766122276
"Mussels","AB",5.08665992856274
"Mussels","SK",2.94833223019499
"Mussels","MB",2.82819821965936
"Mussels","ON",3.93781941928153
"Mussels","QC",4.87946719151813
"Mussels","NB",4.7265395248502
"Mussels","NS",5.98076677978732
"Mussels","PE",10.2688708897275
"Mussels","NL",4.57593891873582
"Mussels","YT",4.11302253030585
"Mussels","NT",8.81405991044963
"Mussels","NU",4.39024602997122
"Mussels","Canada",4.61771522129725
"Clams","BC",4.97114194168764
"Clams","AB",3.01098468581852
"Clams","SK",2.62549256658847
"Clams","MB",1.70638440999676
"Clams","ON",2.50113614586911
"Clams","QC",3.10632929155674
"Clams","NB",5.26363674441778
"Clams","NS",2.6480213849937
"Clams","PE",6.36657932925838
"Clams","NL",0.989026191568879
"Clams","YT",1.28871144160934
"Clams","NT",4.40665315227064
"Clams","NU",1.19069277084321
"Clams","Canada",3.06663854282255
"Shrimp/prawns","BC",24.1480382396984
"Shrimp/prawns","AB",23.0568713036468
"Shrimp/prawns","SK",18.9873611242139
"Shrimp/prawns","MB",16.1494759392127
"Shrimp/prawns","ON",23.9790911648858
"Shrimp/prawns","QC",36.8546299139277
"Shrimp/prawns","NB",18.4745267175369
"Shrimp/prawns","NS",14.0900657752143
"Shrimp/prawns","PE",8.75582125281102
"Shrimp/prawns","NL",17.5653400550234
"Shrimp/prawns","YT",24.4874016437975
"Shrimp/prawns","NT",28.4588097543473
"Shrimp/prawns","NU",28.2015768036125
"Shrimp/prawns","Canada",25.9032558140564
"Any oysters","BC",4.51907927967945
